,0,1,2,3,4,5,6,7,8
0,0,-0.044557,0.93932,0.11175,1,-58,0.17794,920.75,4
1,0.25,-0.044557,0.93932,0.11175,1,-60,0.4694,920.25,4
2,0.75,-0.044557,0.93932,0.11175,3,-68.5,0.15033,923.25,1
3,1.5,-0.044557,0.93932,0.11175,4,-57.5,5.1082,925.75,1
4,2.5,0.61207,0.89339,0.0091224,4,-57.5,4.3949,920.75,1
5,3,0.61207,0.89339,0.0091224,1,-65,3.6386,920.25,1
6,4,0.69414,0.83597,0.054735,4,-57.5,5.6328,925.75,1
7,5,0.54171,0.90487,0.0091224,1,-67.5,0.084369,920.75,1
8,5.75,0.58862,0.87042,-0.03649,4,-57,0.19175,924.75,1
9,6,0.58862,0.87042,-0.03649,1,-66.5,1.8116,922.25,1
10,7.5,0.43619,0.96229,-0.070699,4,-57,0.948,924.25,1
11,8.25,0.43619,0.96229,-0.070699,4,-57.5,0.44179,924.75,1
12,9.5,0.55344,0.89339,-0.025087,1,-67,2.6492,921.25,1
13,10,0.55344,0.89339,-0.025087,4,-56,4.8351,920.25,1
14,10.25,0.55344,0.89339,-0.025087,4,-56.5,0.15033,921.75,1
15,11.25,0.54171,0.90487,-0.013684,4,-57,1.3468,923.75,1
16,11.5,0.54171,0.90487,-0.013684,1,-68,1.3208,922.75,1
17,12.25,0.54171,0.90487,-0.013684,4,-57.5,0.90198,924.25,1
18,12.75,0.54171,0.90487,-0.013684,1,-68,3.4852,920.25,1
19,14,0.48309,0.93932,-0.03649,1,-68,1.1382,922.75,1
20,15.75,0.44791,0.96229,-0.070699,1,-67.5,1.7211,922.25,1
21,17.5,0.7645,0.81301,0.066138,1,-67,1.9343,921.75,1
22,19,0.54171,0.88191,-0.025087,4,-56.5,0.7133,921.25,1
23,19.5,0.54171,0.88191,-0.025087,1,-67.5,6.0285,920.75,1
24,20,0.54171,0.88191,-0.025087,1,-66.5,1.9313,921.75,1
25,20.75,0.54171,0.88191,-0.025087,1,-66.5,1.4281,922.25,1
26,21.25,0.54171,0.88191,-0.025087,1,-67.5,0.9434,922.75,1
27,22.75,0.58862,0.87042,0.0091224,1,-68,0.64427,923.25,1
28,23.5,0.58862,0.87042,0.0091224,1,-67.5,0.092039,923.75,1
29,24.75,0.54171,0.90487,-0.013684,1,-66,1.9037,921.75,1
30,25.5,0.54171,0.90487,-0.013684,1,-66.5,1.5432,922.25,1
31,26.25,0.54171,0.90487,-0.013684,1,-66.5,2.3593,921.25,1
32,27.75,0.67069,0.84746,0.031928,4,-57,1.738,923.25,1
33,28.5,0.67069,0.84746,0.031928,4,-57,1.3683,923.75,1
34,28.75,0.67069,0.84746,0.031928,4,-56.5,0.77159,921.25,1
35,29.25,0.67069,0.84746,0.031928,1,-67.5,5.9641,920.75,1
36,31.25,0.55344,0.90487,-0.0022806,4,-58.5,1.8224,925.25,1
37,31.75,0.55344,0.90487,-0.0022806,1,-61,0.47553,924.25,1
38,34.25,1.0811,0.078086,0.24859,3,-57.5,0.57064,924.25,3
39,35.25,1.0811,0.078086,0.24859,3,-58,0.32981,924.75,3
40,37.25,1.0811,0.078086,0.24859,3,-58,1.1213,923.25,3
41,38,1.0811,0.078086,0.24859,3,-58,0.61206,923.75,3
42,38.75,1.0811,0.078086,0.24859,3,-58.5,6.0055,925.25,3
43,40,1.1163,-0.27789,-0.12771,3,-58,6.1697,924.75,3
44,40.5,1.1163,-0.27789,-0.12771,3,-57,0.54456,923.75,3
45,41,1.1163,-0.27789,-0.12771,3,-57,5.395,921.25,3
46,41.75,1.1163,-0.27789,-0.12771,3,-58,6.0439,920.25,3
47,42.25,1.1163,-0.27789,-0.12771,3,-58,6.0454,924.75,3
48,42.75,1.1163,-0.27789,-0.12771,3,-58.5,5.5193,925.75,3
49,44,1.0811,-0.26641,-0.16192,3,-57.5,0.14726,924.25,3
50,44.5,1.0811,-0.26641,-0.16192,3,-56,1.9006,921.75,3
51,46,1.1866,-0.32383,-0.12771,3,-58,5.7662,925.25,3
52,46.75,1.1866,-0.32383,-0.12771,3,-58,6.0838,920.25,3
53,48.25,1.1163,-0.28938,-0.15052,3,-57,5.3827,921.25,3
54,48.75,1.1163,-0.28938,-0.15052,3,-57.5,0.1488,924.25,3
55,49.5,1.1163,-0.28938,-0.15052,3,-58,6.0822,924.75,3
56,50.75,1.2101,-0.32383,-0.11631,3,-58,5.8153,925.25,3
57,51.25,1.2101,-0.32383,-0.11631,3,-57.5,0.18101,924.25,3
58,52,1.2101,-0.32383,-0.11631,3,-57,0.88357,923.25,3
59,52.5,1.2101,-0.32383,-0.11631,3,-58.5,5.5361,925.75,3
60,53.75,1.0928,-0.26641,-0.15052,3,-57.5,0.21016,924.25,3
61,54.25,1.0928,-0.26641,-0.15052,3,-56.5,5.0944,921.75,3
62,54.5,1.0928,-0.26641,-0.15052,3,-58,6.1421,924.75,3
63,55.25,1.0928,-0.26641,-0.15052,3,-56.5,1.2318,922.75,3
64,55.75,1.0928,-0.26641,-0.15052,3,-57,5.4272,921.25,3
65,56.25,1.0928,-0.26641,-0.15052,3,-57.5,0.19175,924.25,3
66,57.25,1.1045,-0.27789,-0.15052,3,-56,1.6076,922.25,3
67,57.75,1.1045,-0.27789,-0.15052,3,-57,0.5553,923.75,3
68,58,1.1045,-0.27789,-0.15052,3,-57,5.4334,921.25,3
69,58.75,1.1045,-0.27789,-0.15052,3,-58.5,6.1221,920.25,3
70,59.5,1.1045,-0.27789,-0.15052,3,-58,6.1313,924.75,3
71,60.75,1.0811,-0.25493,-0.16192,3,-58,5.8245,925.25,3
72,61.25,1.0811,-0.25493,-0.16192,3,-58,6.1528,920.25,3
73,61.75,1.0811,-0.25493,-0.16192,3,-56.5,0.90658,923.25,3
74,62.25,1.0811,-0.25493,-0.16192,3,-58.5,5.5085,925.75,3
75,63.5,0.97555,-0.18603,-0.21894,3,-57.5,0.1626,924.25,3
76,64.5,0.97555,-0.18603,-0.21894,3,-56.5,1.6045,922.25,3
77,65,0.97555,-0.18603,-0.21894,3,-57,0.53076,923.75,3
78,65.25,0.97555,-0.18603,-0.21894,3,-57,5.4349,921.25,3
79,66,0.97555,-0.18603,-0.21894,3,-57.5,0.13959,924.25,3
80,67.5,1.0811,-0.25493,-0.15052,3,-57,0.49241,923.75,3
81,67.75,1.0811,-0.25493,-0.15052,3,-57,5.3981,921.25,3
82,68.5,1.0811,-0.25493,-0.15052,3,-57.5,0.1488,924.25,3
83,69,1.0811,-0.25493,-0.15052,3,-57,0.83449,923.25,3
84,70,1.1163,-0.27789,-0.15052,3,-57,5.4027,921.25,3
85,71,1.1163,-0.27789,-0.15052,3,-58,6.119,920.25,3
