,0,1,2,3,4,5,6,7,8
0,0,0.97555,-0.22048,-0.23034,3,-50.5,0.19175,921.75,3
1,0.025,0.97555,-0.22048,-0.23034,3,-50.5,0.14573,921.75,3
2,0.75,0.89348,-0.23196,-0.26455,3,-51,6.1528,922.25,3
3,1.5,1.1045,-0.32383,-0.19613,3,-56,1.4235,921.25,3
4,2,1.1045,-0.32383,-0.19613,3,-56.5,4.8167,920.75,3
5,21.25,1.1983,-0.35827,-0.16192,1,-68,0.9572,920.75,3
6,21.75,1.1632,-0.34679,-0.15052,1,-67.5,1.4251,920.25,3
7,22.25,1.1632,-0.34679,-0.15052,1,-67.5,4.8075,923.25,3
8,23.25,0.89348,-0.20899,-0.28736,1,-66.5,0.18715,921.25,3
9,23.75,0.89348,-0.20899,-0.28736,1,-67,0.67188,920.75,3
10,24.5,1.1983,-0.36976,-0.15052,1,-67.5,1.4235,923.25,3
11,26.75,0.88175,-0.22048,-0.28736,1,-66,6.0485,921.75,3
12,27,0.88175,-0.22048,-0.28736,1,-67,1.4696,923.25,3
13,27.5,0.88175,-0.22048,-0.28736,1,-65,5.4963,922.25,3
14,28.75,1.0694,-0.27789,-0.20754,1,-67,0.85903,920.75,3
15,29,1.0694,-0.27789,-0.20754,1,-67,4.4148,920.25,3
16,30.5,0.94038,-0.22048,-0.28736,1,-66.5,5.2907,922.75,3
17,31.25,0.9052,-0.22048,-0.28736,1,-68,0.7179,924.25,3
18,31.5,0.9052,-0.22048,-0.28736,1,-67.5,1.4021,920.25,3
19,31.75,0.9052,-0.22048,-0.28736,3,-51.5,5.415,923.25,3
20,32,0.9052,-0.22048,-0.28736,1,-67,4.8213,923.25,3
21,32.5,1.0694,-0.27789,-0.21894,1,-67.5,5.803,922.25,3
22,32.75,1.0694,-0.27789,-0.21894,1,-68,1.2548,923.75,3
23,33,1.0694,-0.27789,-0.21894,1,-68,5.3214,922.75,3
24,33.5,0.88175,-0.22048,-0.29876,1,-67.5,4.1111,920.75,3
25,34.25,1.1163,-0.31234,-0.20754,1,-67,4.7753,923.25,3
26,36.75,1.3156,-0.38124,-0.11631,3,-51.5,5.4395,923.25,3
27,36.825,1.3156,-0.38124,-0.11631,1,-67,1.7319,923.25,3
28,37.25,0.89348,-0.22048,-0.27595,1,-67.5,5.8552,922.25,3
29,37.75,0.91693,-0.20899,-0.27595,1,-66.5,5.3919,922.75,3
30,38.25,1.2687,-0.38124,-0.12771,1,-68,1.1229,920.75,3
31,39,1.0225,-0.26641,-0.21894,1,-68,0.041417,921.75,3
32,39.75,1.3156,-0.39272,-0.11631,1,-68,5.8061,922.25,3
33,40.25,1.1397,-0.31234,-0.16192,1,-68,2.2074,922.75,3
34,41.5,0.9521,-0.20899,-0.27595,1,-67.5,6.1804,921.75,3
35,41.75,0.9521,-0.20899,-0.27595,1,-68,4.852,923.25,3
36,43.75,1.257,-0.38124,-0.13912,3,-51.5,0.33441,921.75,3
37,44.5,1.2452,-0.36976,-0.13912,1,-68,5.7171,922.25,3
38,46.75,0.89348,-0.20899,-0.28736,3,-52,0.036816,922.25,3
39,47.5,1.0342,-0.25493,-0.21894,1,-67.5,5.0545,922.75,3
40,47.75,1.0342,-0.25493,-0.21894,1,-68,0.30526,921.25,3
41,51,0.94038,-0.19751,-0.27595,3,-52,0.40957,921.75,3
42,54.25,1.2452,-0.35827,-0.12771,3,-51.5,0.041417,922.25,3
43,55.5,1.0342,-0.25493,-0.23034,3,-52,4.9548,924.25,3
44,62.25,1.2921,-0.38124,-0.10491,1,-68,2.0233,922.75,3
45,63.5,0.96383,-0.22048,-0.25315,1,-68.5,6.0822,921.75,3
46,64,1.2218,-0.35827,-0.15052,1,-68,5.6282,922.25,3
47,64.5,1.2687,-0.36976,-0.13912,3,-51.5,5.8813,922.75,3
48,65.75,0.9052,-0.22048,-0.29876,3,-50,0.79153,921.75,3
49,66.25,0.89348,-0.19751,-0.28736,3,-50,4.9456,924.75,3
50,66.5,1.0576,-0.25493,-0.23034,3,-51,4.3611,925.75,3
51,66.75,0.88175,-0.20899,-0.29876,3,-49.5,5.6251,923.75,3
52,67.5,0.87003,-0.22048,-0.29876,3,-50,1.6628,920.75,3
53,67.75,0.87003,-0.22048,-0.29876,3,-50,1.6552,920.75,3
54,68.25,0.9521,-0.22048,-0.26455,3,-49.5,0.9388,921.75,3
55,68.5,0.88175,-0.22048,-0.28736,3,-50,6.0408,923.25,3
56,68.75,1.0928,-0.30086,-0.20754,3,-50,5.0207,924.75,3
57,69.5,1.0459,-0.24344,-0.23034,3,-49.5,0.17794,922.75,3
58,69.6,0.9052,-0.19751,-0.27595,3,-50,1.3223,921.25,3
59,69.75,0.9052,-0.19751,-0.27595,3,-50,1.3085,921.25,3
60,70.25,0.87003,-0.20899,-0.28736,3,-50.5,5.3106,924.25,3
61,70.5,0.88175,-0.20899,-0.28736,3,-51,1.9313,920.25,3
62,71,1.0342,-0.25493,-0.24174,3,-50.5,4.8811,924.75,3
63,71.75,1.3156,-0.39272,-0.11631,3,-49.5,5.6589,923.75,3
64,71.85,1.3156,-0.39272,-0.11631,3,-49.5,5.6481,923.75,3
65,72,1.0342,-0.27789,-0.24174,3,-49.5,1.33,921.25,3
66,72.75,0.94038,-0.20899,-0.28736,3,-49.5,5.6251,924.25,3
67,73.25,1.2687,-0.36976,-0.12771,3,-49.5,1.2502,921.75,3
68,74.5,0.8583,0.16995,-0.082102,3,-55.5,4.9195,921.25,3
69,75.25,0.8114,0.62928,-0.13912,4,-63,3.8242,920.25,1
70,75.5,0.8114,0.62928,-0.13912,1,-61.5,2.7596,921.75,1
71,76,0.8114,0.62928,-0.13912,3,-60,6.0976,924.75,1
72,77,0.8114,0.62928,-0.13912,4,-58.5,5.8751,921.25,1
73,77.75,0.8114,0.62928,-0.13912,1,-61.5,1.0999,920.25,1
74,109.75,0.67069,0.84746,0.020525,3,-67.5,4.5835,921.75,1
75,112.25,0.67069,0.84746,0.020525,1,-61,5.2815,921.75,1
76,114.5,0.67069,0.84746,0.020525,3,-68,5.3613,920.25,1
77,116.75,0.67069,0.84746,0.020525,3,-68.5,2.1721,920.25,1
78,120.75,0.57689,0.89339,-0.025087,1,-61.5,5.7708,921.25,1
79,122.5,0.57689,0.89339,-0.025087,1,-61,4.8842,922.25,1
80,124.25,0.57689,0.89339,-0.025087,1,-61,0.20862,920.25,1
81,126.25,0.57689,0.89339,-0.025087,1,-60.5,5.9948,920.75,1
82,127.5,0.57689,0.89339,-0.025087,1,-63.5,2.1445,925.75,1
83,129,0.57689,0.89339,-0.025087,3,-69,5.1849,920.25,1
84,131,0.57689,0.89339,-0.025087,1,-60.5,6.1022,920.75,1
85,136.25,0.61207,0.88191,-0.013684,3,-69,5.0192,920.25,1
86,139,0.61207,0.88191,-0.013684,1,-60.5,5.214,921.75,1
87,141.25,0.61207,0.88191,-0.013684,1,-60.5,5.2892,921.75,1
88,142.75,0.61207,0.88191,-0.013684,1,-60,5.6404,921.25,1
89,145,0.61207,0.88191,-0.013684,1,-60,4.5713,922.75,1
90,146.25,0.61207,0.88191,-0.013684,1,-60,5.3229,921.75,1
91,148.25,0.61207,0.88191,-0.013684,1,-62,0.42338,924.25,1
92,150,0.61207,0.88191,-0.013684,4,-58.5,0.11505,921.25,1
93,151.5,-0.22044,0.92784,0.12315,4,-62.5,5.6297,923.25,4
94,151.75,-0.22044,0.92784,0.12315,4,-63.5,5.464,922.25,4
95,152.75,0.27203,0.88191,-0.070699,1,-57.5,4.6878,925.25,4
96,153.25,0.36583,0.96229,-0.093505,1,-66,0.79153,924.25,4
97,159.25,0.9052,0.70966,0.054735,2,-56.5,0.25004,925.75,2
98,160,0.54171,0.88191,-0.15052,2,-57.5,0.029146,925.25,2
99,160.25,0.54171,0.88191,-0.15052,2,-55,5.145,920.75,2
100,160.5,0.54171,0.88191,-0.15052,2,-57.5,0.48627,924.25,2
101,161.75,0.69414,0.82449,-0.093505,2,-57.5,6.1497,925.75,2
102,163.75,0.7176,0.79004,-0.070699,2,-56.5,0.14266,924.75,2
103,164,0.7176,0.79004,-0.070699,2,-57,6.0086,925.75,2
104,171.5,0.64724,0.83597,-0.12771,2,-57,5.8322,925.75,2
105,172.25,0.58862,0.84746,-0.16192,2,-57,5.9488,925.25,2
106,173.75,0.77622,0.77856,-0.070699,2,-55,1.0508,922.25,2
107,177,0.82312,0.75559,-0.047893,2,-57,5.9564,925.25,2
108,178.75,0.74105,0.77856,-0.070699,2,-57.5,5.757,925.75,2
109,181.5,0.97555,0.69818,0.0091224,2,-56,0.77619,922.75,2
110,182,0.97555,0.69818,0.0091224,2,-57.5,5.9564,925.25,2
111,182.25,0.97555,0.69818,0.0091224,2,-57,0.072097,924.25,2
112,184.75,0.60034,0.83597,-0.15052,2,-57,0.052155,924.25,2
113,186.25,0.7176,0.80152,-0.093505,2,-57,0.23317,923.75,2
114,186.5,0.7176,0.80152,-0.093505,2,-55,4.5989,921.25,2
115,187.25,0.77622,0.76708,-0.059296,2,-57,6.2387,924.25,2
116,190.5,0.61207,0.83597,-0.13912,2,-57.5,6.0485,924.75,2
117,191,0.61207,0.83597,-0.13912,2,-57,0.1626,923.75,2
118,191.75,0.79967,0.76708,-0.059296,2,-57.5,5.8782,925.25,2
119,192.25,0.79967,0.76708,-0.059296,2,-57,0.021476,924.25,2
120,193.5,0.77622,0.76708,-0.047893,2,-57,0.2439,923.75,2
121,193.75,0.77622,0.76708,-0.047893,2,-56,0.68262,922.75,2
122,195.25,0.74105,0.77856,-0.082102,2,-57,0.40344,923.25,2
123,196.5,0.9052,0.70966,0.0091224,2,-57.5,5.9273,925.25,2
124,197,0.9052,0.70966,0.0091224,2,-57,0.013806,924.25,2
125,200.75,0.7176,0.79004,-0.093505,2,-58,5.6558,925.75,2
126,201,0.7176,0.79004,-0.093505,2,-56,0.64734,922.75,2
127,201.25,0.7176,0.79004,-0.093505,2,-58,5.7984,925.25,2
128,201.75,0.7176,0.79004,-0.093505,2,-57,6.2356,924.25,2
129,202.75,0.72932,0.77856,-0.10491,2,-57.5,5.9917,924.75,2
130,203,0.72932,0.77856,-0.10491,2,-58,5.6328,925.75,2
131,203.75,0.72932,0.77856,-0.10491,2,-56,4.5713,921.25,2
132,205.5,0.78795,0.76708,-0.070699,2,-58,5.5975,925.75,2
133,206.5,0.78795,0.76708,-0.070699,2,-55.5,1.6199,920.75,2
134,214.5,0.7645,0.77856,-0.03649,2,-57,0.948,921.75,2
135,218,0.7645,0.77856,-0.03649,2,-58,0.55837,922.75,2
136,222.5,0.7645,0.77856,-0.059296,2,-57,5.7079,925.75,2
137,225.75,0.70587,0.81301,-0.082102,2,-57,5.9963,925.25,2
138,226.25,0.70587,0.81301,-0.082102,2,-56.5,0.11351,924.25,2
139,229.5,0.61207,0.83597,-0.15052,2,-57,6.1651,924.75,2
140,229.75,0.61207,0.83597,-0.15052,2,-57.5,5.7494,925.75,2
141,232.25,0.7645,0.76708,-0.070699,2,-57.5,5.7064,925.75,2
142,234.75,0.77622,0.76708,-0.059296,2,-56.5,5.7739,925.75,2
143,236.5,0.77622,0.77856,-0.059296,2,-54.5,1.356,921.75,2
144,237.25,0.7176,0.80152,-0.093505,2,-56.5,5.7632,925.75,2
145,240.75,0.89348,0.74411,-0.0022806,2,-54.5,5.0054,920.75,2
146,243.5,-0.45495,1.0082,0.077541,2,-50.5,5.0913,921.75,2
147,243.75,0.10787,0.97377,-0.20754,2,-50,0.74245,921.75,4
148,243.85,0.10787,0.97377,-0.20754,2,-50.5,0.78386,923.25,4
149,243.9,0.10787,0.97377,-0.20754,2,-50,1.8669,923.25,4
150,244,0.084423,0.91636,-0.17333,2,-49,4.3488,923.25,4
151,244.25,0.2603,1.2264,-0.21894,2,-49,2.3853,924.75,4
152,244.35,0.2603,1.2264,-0.21894,2,-47.5,4.1525,922.25,4
153,244.5,0.10787,0.96229,0.077541,2,-58,5.8291,925.75,4
154,247.5,-0.079733,0.87042,0.14596,4,-68,5.7877,922.75,4
155,248,-0.079733,0.87042,0.14596,4,-63,0.13806,920.75,1
156,248.5,0.87003,0.44555,0.25999,4,-62,1.3606,921.75,1
157,248.75,0.87003,0.44555,0.25999,4,-63,4.5774,923.25,1
158,250,1.0928,-0.22048,-0.03649,1,-59,5.6251,921.25,3
159,250.25,1.0576,-0.19751,-0.13912,1,-64,5.8813,920.75,3
160,250.5,1.0576,-0.19751,-0.13912,1,-62,5.3014,924.25,3
161,251,1.0811,-0.24344,-0.13912,3,-50.5,6.1988,921.75,3
162,251.5,1.2218,-0.30086,-0.093505,1,-65,5.0683,924.75,3
163,251.75,1.2218,-0.30086,-0.093505,3,-49.5,5.8337,922.25,3
164,251.85,0.88175,-0.16306,-0.24174,1,-68,4.042,925.75,3
165,252,0.9052,-0.16306,-0.25315,1,-65,0.092039,923.75,3
166,252.5,0.9521,-0.15158,-0.23034,1,-65,5.8828,921.25,3
167,252.75,0.9521,-0.15158,-0.23034,3,-50.5,0.33287,925.25,3
168,252.83,0.9521,-0.15158,-0.23034,1,-66.5,0.13039,920.75,3
169,253,1.2335,-0.31234,-0.11631,1,-67.5,0.6412,920.25,3
170,253.5,1.2335,-0.31234,-0.11631,1,-65,5.3996,921.75,3
171,253.75,0.89348,-0.18603,-0.25315,1,-66.5,5.3674,924.75,3
172,254.5,1.1983,-0.31234,-0.12771,1,-65,1.2793,922.75,3
173,254.75,1.1983,-0.31234,-0.12771,1,-65.5,5.9166,921.25,3
174,255,1.1983,-0.31234,-0.12771,1,-67,4.8597,925.25,3
175,256,1.2687,-0.33531,-0.10491,3,-49.5,4.8198,923.25,3
176,256.1,1.2687,-0.33531,-0.10491,1,-65,0.77313,923.25,3
177,256.25,0.91693,-0.18603,-0.25315,1,-66,5.3751,924.75,3
178,257.25,1.0576,-0.20899,-0.20754,3,-49.5,5.2063,922.75,3
179,257.32,1.0576,-0.20899,-0.20754,1,-65.5,6.0301,921.25,3
180,257.5,0.87003,-0.16306,-0.26455,3,-50.5,0.25617,925.25,3
181,257.57,0.87003,-0.16306,-0.26455,1,-66.5,0.26845,920.75,3
182,257.75,0.87003,-0.16306,-0.26455,3,-50,4.1034,924.25,3
183,258,1.128,-0.25493,-0.17333,1,-67,0.73324,920.25,3
184,258.5,1.1632,-0.27789,-0.13912,1,-65,0.78386,923.25,3
185,259,0.91693,-0.17454,-0.24174,3,-50,5.5684,922.25,3
186,259.07,0.91693,-0.17454,-0.24174,1,-65,4.9348,922.25,3
187,259.25,0.94038,-0.17454,-0.24174,3,-49.5,4.4531,923.75,3
188,259.35,0.94038,-0.17454,-0.24174,1,-65.5,0.14573,923.75,3
189,259.5,0.94038,-0.17454,-0.24174,1,-65,4.3933,922.75,3
190,259.75,0.94038,-0.17454,-0.24174,1,-66,5.8966,921.25,3
191,260.25,1.0107,-0.18603,-0.21894,1,-67,0.13652,920.75,3
192,260.75,1.1514,-0.26641,-0.13912,1,-65,5.4257,921.75,3
193,261,1.3156,-0.33531,-0.093505,1,-66,5.4226,924.75,3
194,261.25,1.3156,-0.33531,-0.093505,3,-50,5.5545,922.25,3
195,261.35,1.3156,-0.33531,-0.093505,1,-64.5,4.9609,922.25,3
196,261.5,1.3156,-0.33531,-0.093505,1,-67.5,4.3718,925.75,3
197,261.75,0.89348,-0.17454,-0.26455,1,-65.5,0.19021,923.75,3
198,262.25,1.0811,-0.23196,-0.19613,1,-67,4.8627,925.25,3
199,262.5,1.0811,-0.23196,-0.19613,1,-66.5,0.13192,920.75,3
200,262.75,1.0811,-0.23196,-0.19613,1,-66,5.9135,924.25,3
201,263.25,0.88175,-0.17454,-0.26455,1,-65,5.3873,921.75,3
202,263.5,0.88175,-0.17454,-0.26455,3,-50,4.7845,923.25,3
203,264.25,1.0107,-0.18603,-0.23034,1,-65,1.2977,922.75,3
204,264.5,1.0107,-0.18603,-0.23034,1,-66,5.9212,921.25,3
205,264.75,1.0107,-0.18603,-0.23034,3,-51.5,0.18101,925.25,3
206,265,1.257,-0.32383,-0.11631,1,-66,5.9242,924.25,3
207,265.25,1.257,-0.32383,-0.11631,1,-67,0.62433,920.25,3
208,266.25,1.339,-0.35827,-0.093505,1,-65,4.8735,922.25,3
209,266.75,1.2804,-0.32383,-0.11631,3,-50.5,5.1434,922.75,3
210,267,0.9052,-0.17454,-0.26455,1,-65.5,5.8399,921.25,3
211,268.5,1.2687,-0.32383,-0.11631,1,-66.5,5.2938,924.75,3
212,268.75,1.2687,-0.32383,-0.11631,1,-65.5,1.6015,922.25,3
213,269.5,0.98728,-0.17454,-0.24174,1,-66.5,5.6358,921.25,3
214,270.25,0.9521,-0.15158,-0.24174,1,-65.5,5.5699,924.25,3
215,270.5,0.9521,-0.15158,-0.24174,3,-51.5,5.9534,921.75,3
216,270.6,0.9521,-0.15158,-0.24174,1,-64.5,5.148,921.75,3
217,271.25,1.2101,-0.31234,-0.13912,1,-67.5,0.96948,925.75,3
218,271.75,0.9521,-0.17454,-0.25315,1,-65,1.1014,922.75,3
219,272.75,1.2687,-0.31234,-0.10491,1,-65,5.1895,921.75,3
220,273,1.2687,-0.31234,-0.10491,1,-65,0.47553,923.25,3
221,273.25,1.2687,-0.31234,-0.10491,3,-51.5,0.55223,924.75,3
222,273.32,1.2687,-0.31234,-0.10491,1,-65.5,5.1572,924.75,3
223,274.25,0.89348,-0.16306,-0.26455,1,-65.5,5.7294,921.25,3
224,275,1.2687,-0.31234,-0.10491,1,-67,0.42951,920.25,3
225,275.5,1.3156,-0.32383,-0.10491,1,-64.5,0.46786,923.25,3
226,276,1.2687,-0.33531,-0.11631,1,-64,4.6065,922.25,3
227,276.25,1.2687,-0.33531,-0.11631,1,-64.5,6.1574,923.75,3
228,276.75,0.9521,-0.16306,-0.25315,1,-65,5.6174,921.25,3
229,277,0.9521,-0.16306,-0.25315,1,-66,4.5943,925.25,3
230,277.25,0.9521,-0.16306,-0.25315,1,-65,6.2111,920.75,3
231,277.5,0.9521,-0.16306,-0.25315,1,-66.5,0.64427,920.25,3
232,278,0.98728,-0.18603,-0.25315,1,-59.5,1.0247,923.25,3
233,279,1.2921,-0.34679,-0.12771,3,-51,4.7017,922.75,3
234,279.25,0.91693,-0.19751,-0.27595,1,-60,5.9319,921.25,3
235,280,1.2101,-0.31234,-0.13912,1,-61.5,0.68416,920.25,3
236,280.25,1.2101,-0.31234,-0.13912,1,-59.5,5.4963,921.75,3
237,280.75,1.0107,-0.18603,-0.23034,1,-59,5.0483,922.25,3
238,281.25,1.257,-0.32383,-0.13912,1,-59.5,0.36509,923.75,3
239,281.5,1.3273,-0.33531,-0.11631,3,-52,5.8061,921.25,3
240,281.75,1.3273,-0.33531,-0.11631,1,-60,6.0025,921.25,3
241,282.25,0.94038,-0.17454,-0.27595,1,-60,6.1114,924.25,3
242,282.75,0.88175,-0.17454,-0.26455,1,-59.5,4.0374,923.25,3
243,283.5,1.339,-0.34679,-0.10491,1,-62,4.648,925.75,3
244,283.75,1.339,-0.34679,-0.10491,1,-60,0.41571,923.75,3
245,284,0.94038,-0.17454,-0.27595,3,-51.5,5.823,921.25,3
246,284.25,0.94038,-0.17454,-0.26455,1,-61,5.1542,925.25,3
247,284.75,1.1397,-0.26641,-0.18473,1,-62,0.6995,920.25,3
248,285.25,1.1514,-0.28938,-0.17333,1,-60,4.0405,923.25,3
249,285.75,0.89348,-0.17454,-0.27595,1,-62.5,4.648,925.75,3
250,286.5,0.92865,-0.17454,-0.27595,1,-61,5.958,921.25,3
251,286.75,0.92865,-0.17454,-0.27595,1,-61.5,5.125,925.25,3
252,287.5,0.89348,-0.17454,-0.27595,1,-60,5.5039,921.75,3
253,288,0.96383,-0.16306,-0.26455,3,-52,0.12732,924.75,3
254,288.1,0.96383,-0.16306,-0.26455,1,-59.5,4.9839,922.25,3
255,288.5,1.0342,-0.19751,-0.25315,1,-60.5,0.36816,923.75,3
256,288.6,1.0342,-0.19751,-0.25315,1,-60.5,0.35742,923.75,3
257,289,0.92865,-0.17454,-0.27595,1,-61,5.9626,921.25,3
258,289.25,0.92865,-0.17454,-0.27595,3,-52,6.0945,925.25,3
259,289.75,1.1045,-0.25493,-0.19613,1,-62,0.68722,920.25,3
260,290.75,1.0107,-0.19751,-0.24174,1,-62.5,4.6694,925.75,3
261,291.5,1.2218,-0.31234,-0.13912,1,-61.5,5.9764,921.25,3
262,293.25,0.88175,-0.17454,-0.27595,1,-63,4.5973,925.75,3
263,293.5,0.9052,-0.16306,-0.27595,1,-61,0.35435,923.75,3
264,293.75,0.97555,-0.17454,-0.26455,1,-61.5,5.9779,921.25,3
265,294.5,0.88175,-0.17454,-0.27595,1,-61.5,6.0899,924.25,3
266,294.75,0.88175,-0.17454,-0.27595,3,-50,5.7785,921.75,3
267,295.25,1.0576,-0.20899,-0.20754,3,-50.5,4.0973,924.75,3
268,296.5,0.94038,-0.16306,-0.25315,1,-67.5,0.74245,925.25,3
269,296.75,1.257,-0.31234,-0.12771,1,-67,4.9992,924.25,3
270,297.5,0.9052,-0.16306,-0.26455,3,-49.5,5.1664,923.25,3
271,297.63,0.9052,-0.16306,-0.26455,1,-66.5,6.2264,923.25,3
272,297.75,0.9052,-0.16306,-0.26455,1,-67,1.3867,924.75,3
273,298,0.88175,-0.16306,-0.29876,1,-67,0.97408,922.25,3
274,298.25,0.88175,-0.16306,-0.29876,1,-67,5.6082,923.75,3
