,0,1,2,3,4,5,6,7,8
0,0,0.23685,0.93932,-0.082102,1,-54,4.6602,922.75,4
1,0.025,0.23685,0.93932,-0.082102,1,-54,4.6602,922.75,4
2,0.075,0.23685,0.93932,-0.082102,1,-54,4.6602,922.75,4
3,0.1,0.23685,0.93932,-0.082102,1,-54,4.6602,922.75,4
4,0.125,0.23685,0.93932,-0.082102,1,-54,4.6602,922.75,4
5,4,0.14305,0.70966,0.020525,2,-56.5,0.77926,924.25,2
6,4.05,0.14305,0.70966,0.020525,2,-56.5,0.77926,924.25,2
7,4.075,0.14305,0.70966,0.020525,2,-56.5,0.77926,924.25,2
8,4.1,0.14305,0.70966,0.020525,2,-56.5,0.77926,924.25,2
9,4.125,0.14305,0.70966,0.020525,2,-56.5,0.77926,924.25,2
10,7.5,0.41273,0.95081,-0.082102,2,-55.5,5.1864,921.75,2
11,7.55,0.41273,0.95081,-0.082102,2,-55.5,5.1864,921.75,2
12,7.6,0.41273,0.95081,-0.082102,2,-55.5,5.1864,921.75,2
13,7.625,0.41273,0.95081,-0.082102,2,-55.5,5.1864,921.75,2
14,7.65,0.41273,0.95081,-0.082102,2,-55.5,5.1864,921.75,2
15,7.675,0.41273,0.95081,-0.082102,2,-55.5,5.1864,921.75,2
16,8.75,0.41273,0.95081,-0.082102,2,-56.5,5.3843,921.25,2
17,8.825,0.41273,0.95081,-0.082102,2,-56.5,5.3843,921.25,2
18,8.85,0.41273,0.95081,-0.082102,2,-56.5,5.3843,921.25,2
19,8.9,0.41273,0.95081,-0.082102,2,-56.5,5.3843,921.25,2
20,8.925,0.41273,0.95081,-0.082102,2,-56.5,5.3843,921.25,2
21,10.75,0.41273,0.95081,-0.082102,2,-57,5.6788,920.25,2
22,10.825,0.41273,0.95081,-0.082102,2,-57,5.6788,920.25,2
23,10.85,0.41273,0.95081,-0.082102,2,-57,5.6788,920.25,2
24,10.9,0.41273,0.95081,-0.082102,2,-57,5.6788,920.25,2
25,10.95,0.41273,0.95081,-0.082102,2,-57,5.6788,920.25,2
26,11,0.41273,0.95081,-0.082102,2,-57,5.6788,920.25,2
27,15.5,0.47136,0.93932,-0.093505,2,-56,5.7248,920.25,2
28,15.575,0.47136,0.93932,-0.093505,2,-56,5.7248,920.25,2
29,15.625,0.47136,0.93932,-0.093505,2,-56,5.7248,920.25,2
30,15.675,0.47136,0.93932,-0.093505,2,-56,5.7248,920.25,2
31,15.725,0.47136,0.93932,-0.093505,2,-56,5.7248,920.25,2
32,15.75,0.47136,0.93932,-0.093505,2,-56,5.7248,920.25,2
33,18,0.17823,0.97377,-0.19613,2,-55,6.2817,920.25,2
34,18.075,0.17823,0.97377,-0.19613,2,-55,6.2817,920.25,2
35,18.125,0.17823,0.97377,-0.19613,2,-55,6.2817,920.25,2
36,18.15,0.17823,0.97377,-0.19613,2,-55,6.2817,920.25,2
37,18.2,0.17823,0.97377,-0.19613,2,-55,6.2817,920.25,2
38,18.25,0.17823,0.97377,-0.19613,2,-55,6.2817,920.25,2
39,32.25,0.17823,1.0312,-0.23034,2,-56,5.9902,925.75,2
40,32.325,0.17823,1.0312,-0.23034,2,-56,5.9902,925.75,2
41,32.375,0.17823,1.0312,-0.23034,2,-56,5.9902,925.75,2
42,32.4,0.17823,1.0312,-0.23034,2,-56,5.9902,925.75,2
43,32.45,0.17823,1.0312,-0.23034,2,-56,5.9902,925.75,2
44,32.5,0.17823,1.0312,-0.23034,2,-56,5.9902,925.75,2
45,35.25,0.31893,0.96229,-0.16192,2,-55,5.5239,920.25,2
46,35.325,0.31893,0.96229,-0.16192,2,-55,5.5239,920.25,2
47,35.375,0.31893,0.96229,-0.16192,2,-55,5.5239,920.25,2
48,35.4,0.31893,0.96229,-0.16192,2,-55,5.5239,920.25,2
49,35.45,0.31893,0.96229,-0.16192,2,-55,5.5239,920.25,2
50,35.5,0.31893,0.96229,-0.16192,2,-55,5.5239,920.25,2
51,37.5,0.2603,0.97377,-0.20754,2,-55,5.6849,920.25,2
52,37.575,0.2603,0.97377,-0.20754,2,-55,5.6849,920.25,2
53,37.625,0.2603,0.97377,-0.20754,2,-55,5.6849,920.25,2
54,37.65,0.2603,0.97377,-0.20754,2,-55,5.6849,920.25,2
55,37.7,0.2603,0.97377,-0.20754,2,-55,5.6849,920.25,2
56,37.75,0.2603,0.97377,-0.20754,2,-55,5.6849,920.25,2
57,42.75,0.29548,0.97377,-0.18473,2,-54,5.0805,921.25,2
58,42.825,0.29548,0.97377,-0.18473,2,-54,5.0805,921.25,2
59,42.875,0.29548,0.97377,-0.18473,2,-54,5.0805,921.25,2
60,42.9,0.29548,0.97377,-0.18473,2,-54,5.0805,921.25,2
61,42.95,0.29548,0.97377,-0.18473,2,-54,5.0805,921.25,2
62,43,0.29548,0.97377,-0.18473,2,-54,5.0805,921.25,2
63,44.75,0.31893,0.98526,-0.16192,2,-55,5.6573,920.25,2
64,44.825,0.31893,0.98526,-0.16192,2,-55,5.6573,920.25,2
65,44.875,0.31893,0.98526,-0.16192,2,-55,5.6573,920.25,2
66,44.9,0.31893,0.98526,-0.16192,2,-55,5.6573,920.25,2
67,44.95,0.31893,0.98526,-0.16192,2,-55,5.6573,920.25,2
68,45,0.31893,0.98526,-0.16192,2,-55,5.6573,920.25,2
69,45.5,0.31893,0.98526,-0.16192,2,-55,5.3521,920.75,2
70,45.575,0.31893,0.98526,-0.16192,2,-55,5.3521,920.75,2
71,45.625,0.31893,0.98526,-0.16192,2,-55,5.3521,920.75,2
72,45.65,0.31893,0.98526,-0.16192,2,-55,5.3521,920.75,2
73,45.7,0.31893,0.98526,-0.16192,2,-55,5.3521,920.75,2
74,45.725,0.31893,0.98526,-0.16192,2,-55,5.3521,920.75,2
75,49.25,0.28376,0.95081,-0.20754,2,-56,5.9426,925.75,2
76,49.325,0.28376,0.95081,-0.20754,2,-56,5.9426,925.75,2
77,49.35,0.28376,0.95081,-0.20754,2,-56,5.9426,925.75,2
78,49.4,0.28376,0.95081,-0.20754,2,-56,5.9426,925.75,2
79,49.45,0.28376,0.95081,-0.20754,2,-56,5.9426,925.75,2
80,49.475,0.28376,0.95081,-0.20754,2,-56,5.9426,925.75,2
81,50.25,0.28376,0.95081,-0.20754,2,-54.5,4.9333,921.25,2
82,50.325,0.28376,0.95081,-0.20754,2,-54.5,4.9333,921.25,2
83,50.375,0.28376,0.95081,-0.20754,2,-54.5,4.9333,921.25,2
84,50.4,0.28376,0.95081,-0.20754,2,-54.5,4.9333,921.25,2
85,50.45,0.28376,0.95081,-0.20754,2,-54.5,4.9333,921.25,2
86,50.5,0.28376,0.95081,-0.20754,2,-54.5,4.9333,921.25,2
87,59.5,0.31893,0.96229,-0.20754,2,-57,4.5437,922.25,2
88,59.575,0.31893,0.96229,-0.20754,2,-57,4.5437,922.25,2
89,59.6,0.31893,0.96229,-0.20754,2,-57,4.5437,922.25,2
90,59.65,0.31893,0.96229,-0.20754,2,-57,4.5437,922.25,2
91,59.7,0.31893,0.96229,-0.20754,2,-57,4.5437,922.25,2
92,59.75,0.31893,0.96229,-0.20754,2,-57,4.5437,922.25,2
93,62.5,0.29548,0.93932,-0.16192,2,-54.5,5.1174,920.75,2
94,62.575,0.29548,0.93932,-0.16192,2,-54.5,5.1174,920.75,2
95,62.625,0.29548,0.93932,-0.16192,2,-54.5,5.1174,920.75,2
96,62.65,0.29548,0.93932,-0.16192,2,-54.5,5.1174,920.75,2
97,62.7,0.29548,0.93932,-0.16192,2,-54.5,5.1174,920.75,2
98,62.75,0.29548,0.93932,-0.16192,2,-54.5,5.1174,920.75,2
99,63.75,0.2603,1.0082,-0.18473,2,-56,5.8859,925.75,2
100,63.825,0.2603,1.0082,-0.18473,2,-56,5.8859,925.75,2
101,63.875,0.2603,1.0082,-0.18473,2,-56,5.8859,925.75,2
102,63.9,0.2603,1.0082,-0.18473,2,-56,5.8859,925.75,2
103,63.95,0.2603,1.0082,-0.18473,2,-56,5.8859,925.75,2
104,64,0.2603,1.0082,-0.18473,2,-56,5.8859,925.75,2
105,71.5,0.34238,0.98526,-0.20754,2,-54.5,5.438,920.25,2
106,71.575,0.34238,0.98526,-0.20754,2,-54.5,5.438,920.25,2
107,71.6,0.34238,0.98526,-0.20754,2,-54.5,5.438,920.25,2
108,71.65,0.34238,0.98526,-0.20754,2,-54.5,5.438,920.25,2
109,71.7,0.34238,0.98526,-0.20754,2,-54.5,5.438,920.25,2
110,71.725,0.34238,0.98526,-0.20754,2,-54.5,5.438,920.25,2
111,76,0.52999,0.88191,-0.03649,2,-55.5,5.8322,925.75,2
112,76.075,0.52999,0.88191,-0.03649,2,-55.5,5.8322,925.75,2
113,76.1,0.52999,0.88191,-0.03649,2,-55.5,5.8322,925.75,2
114,76.15,0.52999,0.88191,-0.03649,2,-55.5,5.8322,925.75,2
115,76.175,0.52999,0.88191,-0.03649,2,-55.5,5.8322,925.75,2
116,76.225,0.52999,0.88191,-0.03649,2,-55.5,5.8322,925.75,2
117,78.25,0.37756,0.95081,-0.12771,2,-56,5.8077,925.75,2
118,78.35,0.37756,0.95081,-0.12771,2,-56,5.8077,925.75,2
119,78.4,0.37756,0.95081,-0.12771,2,-56,5.8077,925.75,2
120,78.45,0.37756,0.95081,-0.12771,2,-56,5.8077,925.75,2
121,78.475,0.37756,0.95081,-0.12771,2,-56,5.8077,925.75,2
122,78.525,0.37756,0.95081,-0.12771,2,-56,5.8077,925.75,2
