,0,1,2,3,4,5,6,7,8
0,0,1.0342,0.38813,-0.013684,4,-59.5,4.4301,920.75,1
1,1,0.98728,0.21588,0.088944,4,-65,5.846,923.25,3
2,1.25,0.98728,-0.0022966,-0.13912,4,-67,5.8123,922.25,3
3,2.25,0.8583,0.16995,0.043332,3,-48,0.2439,921.25,3
4,2.3,0.8583,0.16995,0.043332,3,-50.5,1.06,925.25,3
5,2.325,0.8583,0.16995,0.043332,4,-67.5,4.5237,925.25,3
6,2.5,0.8583,0.16995,0.043332,4,-65,2.1261,920.75,3
7,2.75,0.92865,0.12402,-0.0022806,4,-65,5.1358,924.25,3
8,2.8,0.92865,0.12402,-0.0022806,3,-47.5,3.9945,920.25,3
9,3,0.92865,0.12402,-0.0022806,3,-47,3.9991,920.25,3
10,3.05,1.0576,0.11254,0.0091224,3,-47.5,3.9884,920.25,3
11,3.1,1.0576,0.11254,0.0091224,3,-47.5,6.1421,921.75,3
12,3.25,0.98728,0.15847,-0.070699,3,-47.5,6.162,921.75,3
13,3.325,0.98728,0.15847,-0.070699,3,-47.5,6.1804,921.75,3
14,3.35,0.98728,0.15847,-0.070699,3,-48,2.0908,923.25,3
15,3.375,0.92865,0.12402,-0.10491,3,-48,2.1,923.25,3
16,3.4,0.92865,0.12402,-0.10491,3,-48,2.1138,923.25,3
17,3.5,0.92865,0.12402,-0.10491,3,-48,2.0923,923.25,3
18,3.6,0.9052,0.11254,-0.11631,4,-65.5,1.037,924.75,3
19,3.75,0.9052,0.11254,-0.11631,3,-48,5.9503,922.25,3
20,3.825,0.9052,0.16995,-0.047893,3,-48,5.9396,922.25,3
21,3.875,0.9052,0.16995,-0.047893,3,-48,5.9534,922.25,3
22,4,0.92865,0.14698,-0.11631,3,-50.5,0.76852,925.75,3
23,4.5,0.91693,0.1355,-0.025087,4,-64.5,5.9304,922.75,3
24,4.575,0.91693,0.1355,-0.025087,3,-47.5,0.24237,921.25,3
25,4.75,0.9052,0.1355,-0.15052,4,-67,0.20555,925.25,3
26,5,0.9052,0.1355,-0.15052,3,-47.5,3.7306,920.75,3
27,5.1,0.91693,0.1355,-0.10491,3,-47.5,3.7276,920.75,3
28,5.125,0.91693,0.1355,-0.10491,3,-47.5,0.59825,920.75,3
29,5.25,1.0342,0.11254,-0.093505,3,-47.5,4.1233,920.25,3
30,5.5,1.0342,0.11254,-0.093505,3,-47,4.1417,920.25,3
31,5.625,1.0576,0.078086,-0.070699,3,-47.5,6.2786,921.75,3
32,5.65,1.0576,0.078086,-0.070699,3,-47.5,0.021476,921.75,3
33,5.75,1.0576,0.078086,-0.070699,3,-47.5,0.033748,921.75,3
34,5.85,0.91693,0.1355,-0.12771,3,-48,2.2258,923.25,3
35,5.9,0.92865,0.12402,-0.13912,3,-48,2.2411,923.25,3
36,6,0.96383,0.12402,-0.12771,4,-66.5,0.74091,924.75,3
37,6.25,0.96383,0.12402,-0.12771,4,-64,6.2571,922.25,3
38,6.325,0.96383,0.12402,-0.12771,3,-50.5,0.86056,925.75,3
39,6.75,0.96383,0.12402,-0.12771,3,-48.5,1.8868,923.75,3
40,6.85,0.96383,0.12402,-0.12771,3,-48,5.6312,922.75,3
41,6.875,1.2101,0.02067,0.0091224,4,-64,5.622,922.75,3
42,7,1.2101,0.02067,0.0091224,4,-64,4.0712,921.25,3
43,7.25,1.2101,0.02067,0.0091224,4,-67.5,0.026078,925.25,3
44,7.5,1.1866,0.043636,-0.013684,3,-47.5,0.60132,920.75,3
45,7.575,0.9521,0.12402,-0.15052,3,-49,1.514,924.25,3
46,7.75,1.0459,0.11254,-0.093505,3,-47.5,4.0712,920.25,3
47,7.825,1.0459,0.11254,-0.093505,3,-47.5,4.0911,920.25,3
48,8,1.0459,0.11254,-0.093505,3,-47.5,4.0773,920.25,3
49,8.1,0.9052,0.14698,-0.15052,4,-64.5,0.30526,921.75,3
50,8.125,0.9052,0.14698,-0.15052,4,-64.5,0.33287,921.75,3
51,8.25,0.9052,0.14698,-0.15052,4,-64.5,5.0683,923.25,3
